Gene,SRR5886303,SRR5886304,SRR5886305,SRR5886306
A1BG,0,0,1,0
A1BG-AS1,19,5,13,10
A1CF,0,0,0,0
A2M,699,488,7479,5601
A2M-AS1,39,36,34,34
A2ML1,0,0,0,4
A2MP1,250,171,31,38
A3GALT2,0,0,1,0
A4GALT,60,15,123,138
A4GNT,0,0,0,0
AA06,0,0,0,0
AAAS,1877,907,2783,2051
AACS,918,431,839,802
AACSP1,0,0,0,0
AADAC,0,0,0,0
AADACL2,0,0,0,1
AADACL2-AS1,0,0,0,0
AADACL3,0,0,0,0
AADACL4,0,0,0,0
AADACP1,9,10,11,2
AADAT,149,161,105,75
AAGAB,3184,2978,2997,2123
AAK1,2639,2107,798,828
AAMDC,242,205,116,93
AAMP,1956,807,2520,2013
AANAT,0,0,0,3
AAR2,1839,973,2124,1525
AARD,0,0,0,0
AARS1,10332,6844,6613,4918
AARS2,1166,578,1521,1218
AARSD1,48,20,75,33
AASDH,578,622,418,326
AASDHPPT,2091,2205,2505,1782
AASS,0,0,0,0
AATBC,0,0,0,0
AATF,5127,4013,4092,2830
AATK,1,0,47,48
ABALON,3,6,3,2
ABAT,2,1,0,1
ABCA1,86,45,21,18
ABCA10,17,10,2,2
ABCA11P,281,294,147,130
ABCA12,11,16,4,3
ABCA13,3,1,8,12
ABCA17P,2,0,6,4
ABCA2,264,51,756,849
ABCA3,308,112,410,403
ABCA4,36,29,28,18
ABCA5,2239,2230,782,657
ABCA6,0,4,0,0
ABCA7,187,41,299,288
ABCA8,0,0,0,2
ABCA9,0,0,1,0
ABCA9-AS1,0,0,0,0
ABCB1,9,3,6,3
ABCB10,985,912,1092,836
ABCB11,4,1,5,5
ABCB4,0,0,2,1
ABCB5,2,6,0,2
ABCB6,618,331,1327,1006
ABCB7,4353,4222,3506,2623
ABCB8,376,89,490,486
ABCB9,191,38,215,190
ABCC1,1741,964,3219,3305
ABCC10,538,177,471,455
ABCC11,5,8,7,7
ABCC12,0,0,0,0
ABCC13,0,0,0,0
ABCC2,290,268,1520,1254
ABCC3,100,40,123,105
ABCC4,4591,4237,3846,2984
ABCC5,2788,1986,3186,2827
ABCC5-AS1,0,0,0,0
ABCC6,23,6,38,58
ABCC6P1,1,0,2,0
ABCC6P2,5,0,2,2
ABCC8,0,0,1,0
ABCC9,0,0,0,0
ABCD1,66,24,261,244
ABCD2,4,5,0,0
ABCD3,4400,4595,4585,3615
ABCD4,496,244,487,401
ABCE1,10402,10950,8865,7142
ABCF1,7952,5974,8162,5948
ABCF2,1962,1071,2205,1697
ABCF3,1646,878,1962,1451
ABCG1,1,5,4,7
ABCG2,431,365,1107,935
ABCG4,0,0,0,0
ABCG5,0,0,0,0
ABCG8,0,0,0,0
ABHD1,0,0,1,0
ABHD10,1967,2014,1646,1233
ABHD11,368,99,294,235
ABHD11-AS1,0,0,0,0
ABHD12,707,371,633,469
ABHD12B,0,0,0,0
ABHD13,940,1001,527,509
ABHD14A,34,15,70,71
ABHD14A-ACY1,0,0,0,0
ABHD14B,497,271,706,577
ABHD15,81,37,188,155
ABHD16A,483,221,631,475
ABHD16B,0,0,0,1
ABHD17A,52,4,66,87
ABHD17B,828,774,899,765
ABHD17C,980,736,690,615
ABHD18,361,358,377,277
ABHD2,3672,2829,3057,2304
ABHD3,745,664,1120,884
ABHD4,867,530,1036,814
ABHD5,3311,3426,1330,1117
ABHD6,421,249,590,484
ABHD8,13,7,16,19
ABI1,2135,1934,1343,925
ABI2,2507,2219,1681,1404
ABI3,0,1,0,0
ABI3BP,13,10,0,0
ABITRAM,1053,1120,694,532
ABL1,3370,1537,2726,2295
ABL2,17199,14771,4667,3824
ABLIM1,8515,7106,8966,6645
ABLIM2,38,11,83,44
ABLIM3,231,157,2,1
ABO,0,0,0,0
ABR,1077,529,531,458
ABRA,0,0,0,0
ABRACL,484,532,259,244
ABRAXAS1,168,180,134,109
ABRAXAS2,1208,1115,1268,959
ABT1,844,533,1060,724
ABTB1,36,4,16,18
ABTB2,336,156,248,196
ACAA1,334,176,450,351
ACAA2,2875,2415,2475,1943
ACACA,7699,5754,8247,6658
ACACB,242,144,350,287
ACAD10,452,272,386,318
ACAD11,96,46,64,58
ACAD8,430,261,388,285
ACAD9,2863,1746,2730,2203
ACADL,0,0,0,0
ACADM,1697,1960,1764,1407
ACADS,29,7,70,45
ACADSB,357,316,409,290
ACADVL,5953,2957,6074,4795
ACAN,0,0,0,0
ACAP1,1,0,1,1
ACAP2,5353,5394,3026,2438
ACAP3,202,39,279,212
ACAT1,2263,1921,2130,1461
ACAT2,4796,4033,3905,3010
ACBD3,1834,1770,1554,1366
ACBD3-AS1,0,0,0,0
ACBD4,66,26,119,70
ACBD5,2300,2108,1946,1534
ACBD6,1739,1382,1477,1216
ACBD7,307,262,140,159
ACBD7-DCLRE1CP1,0,0,1,0
ACCS,123,66,81,108
ACCSL,0,0,0,0
ACD,166,54,260,165
ACE,0,0,0,0
ACE2,1,4,7,12
ACER1,0,0,0,0
ACER2,60,43,44,30
ACER3,1999,2201,1304,1067
ACHE,0,1,1,1
ACIN1,7659,5334,5723,4592
ACKR1,0,0,0,0
ACKR2,3,0,0,0
ACKR3,0,0,0,0
ACKR4,1,0,2,0
ACLY,11501,6969,15236,11742
ACMSD,0,0,0,0
ACO1,9909,7420,5363,3739
ACO2,1272,591,1796,1483
ACOD1,0,0,0,0
ACOT1,48,21,48,24
ACOT11,4,0,13,7
ACOT12,0,0,0,0
ACOT13,1014,986,1273,1029
ACOT2,453,239,329,197
ACOT4,85,51,34,15
ACOT6,0,0,0,0
ACOT7,778,314,690,640
ACOT8,227,84,289,269
ACOT9,6424,5420,3432,2431
ACOX1,1219,1016,1251,905
ACOX2,6,0,0,1
ACOX3,94,38,107,85
ACOXL,32,13,21,13
ACOXL-AS1,2,1,1,1
ACP1,4210,3228,4038,3132
ACP2,961,464,1079,870
ACP3,106,73,139,141
ACP4,0,0,0,0
ACP5,0,0,0,0
ACP6,227,130,177,131
ACP7,0,0,0,0
ACR,0,0,0,0
ACRBP,2,1,7,1
ACRV1,0,0,0,0
ACSBG1,4,5,1,1
ACSBG2,0,1,2,1
ACSF2,22,10,212,160
ACSF3,398,125,559,510
ACSL1,1397,1177,1098,834
ACSL3,4980,5129,6845,5406
ACSL4,11945,12544,10255,8354
ACSL5,355,296,314,240
ACSL6,0,0,0,0
ACSM1,0,0,0,0
